Date,Running Death Count,Daily Deaths,Running Infection Count,Daily Infections
2020-01-22,0,0.0,1,0.0
2020-01-23,0,0.0,1,0.0
2020-01-24,0,0.0,2,1.0
2020-01-25,0,0.0,2,0.0
2020-01-26,0,0.0,5,3.0
2020-01-27,0,0.0,5,0.0
2020-01-28,0,0.0,5,0.0
2020-01-29,0,0.0,5,0.0
2020-01-30,0,0.0,5,0.0
2020-01-31,0,0.0,7,2.0
2020-02-01,0,0.0,8,1.0
2020-02-02,0,0.0,8,0.0
2020-02-03,0,0.0,11,3.0
2020-02-04,0,0.0,11,0.0
2020-02-05,0,0.0,11,0.0
2020-02-06,0,0.0,11,0.0
2020-02-07,0,0.0,11,0.0
2020-02-08,0,0.0,11,0.0
2020-02-09,0,0.0,11,0.0
2020-02-10,0,0.0,11,0.0
2020-02-11,0,0.0,12,1.0
2020-02-12,0,0.0,12,0.0
2020-02-13,0,0.0,13,1.0
2020-02-14,0,0.0,13,0.0
2020-02-15,0,0.0,13,0.0
2020-02-16,0,0.0,13,0.0
2020-02-17,0,0.0,13,0.0
2020-02-18,0,0.0,13,0.0
2020-02-19,0,0.0,13,0.0
2020-02-20,0,0.0,13,0.0
2020-02-21,0,0.0,15,2.0
2020-02-22,0,0.0,15,0.0
2020-02-23,0,0.0,15,0.0
2020-02-24,0,0.0,15,0.0
2020-02-25,0,0.0,15,0.0
2020-02-26,0,0.0,15,0.0
2020-02-27,0,0.0,16,1.0
2020-02-28,0,0.0,16,0.0
2020-02-29,1,1.0,24,8.0
2020-03-01,1,0.0,30,6.0
2020-03-02,6,5.0,53,23.0
2020-03-03,7,1.0,73,20.0
2020-03-04,11,4.0,104,31.0
2020-03-05,12,1.0,172,68.0
2020-03-06,14,2.0,217,45.0
2020-03-07,17,3.0,336,119.0
2020-03-08,21,4.0,450,114.0
2020-03-09,22,1.0,514,64.0
2020-03-10,28,6.0,708,194.0
2020-03-11,32,4.0,1105,397.0
2020-03-12,40,8.0,1557,452.0
2020-03-13,48,8.0,2147,590.0
2020-03-14,52,4.0,2857,710.0
2020-03-15,60,8.0,2918,61.0
2020-03-16,84,24.0,4287,1369.0
2020-03-17,107,23.0,6028,1741.0
2020-03-18,143,36.0,8805,2777.0
2020-03-19,208,65.0,13955,5150.0
2020-03-20,257,49.0,19158,5203.0
2020-03-21,317,60.0,25555,6397.0
2020-03-22,426,109.0,33542,7987.0
2020-03-23,551,125.0,43586,10044.0
2020-03-24,705,154.0,53659,10073.0
2020-03-25,941,236.0,65701,12042.0
2020-03-26,1208,267.0,83759,18058.0
2020-03-27,1578,370.0,101580,17821.0
2020-03-28,2023,445.0,121326,19746.0
2020-03-29,2464,441.0,140734,19408.0
2020-03-30,2975,511.0,161655,20921.0
2020-03-31,3870,895.0,188020,26365.0
2020-04-01,4754,884.0,213210,25190.0
2020-04-02,5923,1169.0,243301,30091.0
2020-04-03,7084,1161.0,275430,32129.0
2020-04-04,8404,1320.0,308693,33263.0
2020-04-05,9616,1212.0,336913,28220.0
